observation_id,run_id,scraped_at,platform,city,zone_type,address_id,address_label,latitude,longitude,store_id,store_name,product_canonical,product_raw_name,product_price,product_price_final,delivery_fee,service_fee,eta_min,eta_max,promo_present,promo_description,store_available,currency,capture_error
800361905ed84667ad7a6d2ef2db01e9,run_20260422_200515,2026-04-22T20:05:59.335282+00:00,rappi,cdmx,middle,cdmx_coyoacan_01,"Av. Universidad 1900, Coyoacán",19.3326,-99.1858,1930300956,Mcdonald's - San Angel,happy_meal,Cajita Feliz Hamburguesa sin Queso,139.0,139.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
bababff7bcbd43e0ba6f6f0bbf4ed932,run_20260422_200515,2026-04-22T20:05:59.335282+00:00,rappi,cdmx,middle,cdmx_coyoacan_01,"Av. Universidad 1900, Coyoacán",19.3326,-99.1858,1930300956,Mcdonald's - San Angel,mcnuggets_10,McNuggets de Pollo 10 pzas,145.0,145.0,,,12.0,12.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
06bb29c04a7d47ec91cf93f0b8639ac6,run_20260422_200515,2026-04-22T20:06:08.185319+00:00,rappi,cdmx,peripheral,cdmx_iztapalapa_01,"Av. Ermita Iztapalapa 1514, Iztapalapa",19.3574,-99.0822,1923475056,McDonald's Ermita San Miguel,big_mac,Big Mac,125.0,125.0,,,15.0,15.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
ece8ef7e7c5b42cbbe3e3359306d95aa,run_20260422_200515,2026-04-22T20:06:08.185319+00:00,rappi,cdmx,peripheral,cdmx_iztapalapa_01,"Av. Ermita Iztapalapa 1514, Iztapalapa",19.3574,-99.0822,1923475056,McDonald's Ermita San Miguel,happy_meal,Cajita Feliz Hamburguesa sin Queso,135.0,135.0,,,15.0,15.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
d785d6ad270d42b3940add74679fa2d4,run_20260422_200515,2026-04-22T20:06:08.185319+00:00,rappi,cdmx,peripheral,cdmx_iztapalapa_01,"Av. Ermita Iztapalapa 1514, Iztapalapa",19.3574,-99.0822,1923475056,McDonald's Ermita San Miguel,mcnuggets_10,McNuggets de Pollo 10 pzas,135.0,135.0,,,15.0,15.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
e2ca22e76e4643008ba18b863b5d6076,run_20260422_200515,2026-04-22T20:06:18.481805+00:00,rappi,cdmx,peripheral,cdmx_gam_01,"Av. Insurgentes Norte 1433, Gustavo A. Madero",19.4912,-99.132,1923220333,Mc Donald's Parque Linda Vista 1- Planta Baja F,big_mac,Big Mac,135.0,135.0,,,13.0,13.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
500dc897686942a58b4770ab4aff80f3,run_20260422_200515,2026-04-22T20:06:18.481805+00:00,rappi,cdmx,peripheral,cdmx_gam_01,"Av. Insurgentes Norte 1433, Gustavo A. Madero",19.4912,-99.132,1923220333,Mc Donald's Parque Linda Vista 1- Planta Baja F,happy_meal,Cajita Feliz Hamburguesa sin Queso,139.0,139.0,,,13.0,13.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
e243cb6c957f4793a39b5eac236f4da0,run_20260422_200515,2026-04-22T20:06:18.481805+00:00,rappi,cdmx,peripheral,cdmx_gam_01,"Av. Insurgentes Norte 1433, Gustavo A. Madero",19.4912,-99.132,1923220333,Mc Donald's Parque Linda Vista 1- Planta Baja F,mcnuggets_10,McNuggets de Pollo 10 pzas,145.0,145.0,,,13.0,13.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
2759585fecad4083b92a34ab3827223b,run_20260422_200515,2026-04-22T20:06:25.997534+00:00,rappi,cdmx,peripheral,cdmx_tlahuac_01,"Av. Tláhuac 4935, Tláhuac",19.2869,-99.0109,1923475057,McDonald´s Tláhuac San Lorenzo,big_mac,Big Mac,125.0,125.0,,,35.0,35.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
6d6246d0741148999917e190b4cc2961,run_20260422_200515,2026-04-22T20:06:25.997534+00:00,rappi,cdmx,peripheral,cdmx_tlahuac_01,"Av. Tláhuac 4935, Tláhuac",19.2869,-99.0109,1923475057,McDonald´s Tláhuac San Lorenzo,happy_meal,Cajita Feliz Hamburguesa sin Queso,135.0,135.0,,,35.0,35.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),True,MXN,
