observation_id,run_id,scraped_at,platform,city,zone_type,address_id,address_label,latitude,longitude,store_id,store_name,product_canonical,product_raw_name,product_price,product_price_final,delivery_fee,service_fee,eta_min,eta_max,promo_present,promo_description,store_available,currency,capture_error
3f0b0a9a487e46cb9158b7366eefe79a,run_20260421_044548,2026-04-21T04:45:51.743881+00:00,rappi,cdmx,premium,cdmx_polanco_01,"Av. Presidente Masaryk 111, Polanco",19.4326,-99.1962,1923762729,Mc Donalds Polanco ,big_mac,Big Mac,145.0,145.0,,,21.0,21.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),False,MXN,
0f892e2280b142de949b8a37c17f4aec,run_20260421_044548,2026-04-21T04:45:51.743881+00:00,rappi,cdmx,premium,cdmx_polanco_01,"Av. Presidente Masaryk 111, Polanco",19.4326,-99.1962,1923762729,Mc Donalds Polanco ,happy_meal,Cajita Feliz Hamburguesa sin Queso,145.0,145.0,,,21.0,21.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),False,MXN,
c4013d63ee31446eb960ec4b998b5240,run_20260421_044548,2026-04-21T04:45:51.743881+00:00,rappi,cdmx,premium,cdmx_polanco_01,"Av. Presidente Masaryk 111, Polanco",19.4326,-99.1962,1923762729,Mc Donalds Polanco ,mcnuggets_10,McNuggets de Pollo 10 pzas,155.0,155.0,,,21.0,21.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),False,MXN,
672698735c9f46df9a033d221f36469c,run_20260421_044548,2026-04-21T04:45:57.846612+00:00,rappi,cdmx,premium,cdmx_condesa_01,"Av. Tamaulipas 141, Condesa",19.4134,-99.176,1306703472,McDonald's  - Sears Insurgentes,big_mac,Big Mac,125.0,125.0,,,,,False,,False,MXN,
ee856127b74741d6b091498ebbf926c9,run_20260421_044548,2026-04-21T04:45:57.846612+00:00,rappi,cdmx,premium,cdmx_condesa_01,"Av. Tamaulipas 141, Condesa",19.4134,-99.176,1306703472,McDonald's  - Sears Insurgentes,happy_meal,Cajita Feliz Hamburguesa sin Queso,129.0,129.0,,,,,False,,False,MXN,
5df14307473e471fb65cdfc1a2b3af03,run_20260421_044548,2026-04-21T04:45:57.846612+00:00,rappi,cdmx,premium,cdmx_condesa_01,"Av. Tamaulipas 141, Condesa",19.4134,-99.176,1306703472,McDonald's  - Sears Insurgentes,mcnuggets_10,McNuggets de Pollo 10 pzas,135.0,135.0,,,,,False,,False,MXN,
959128f8d3f24d3db34fe53c2656289c,run_20260421_044548,2026-04-21T04:46:09.093924+00:00,rappi,cdmx,middle,cdmx_roma_01,"Av. Álvaro Obregón 185, Roma Norte",19.4155,-99.1645,1306703465,McDonald's - Zona Rosa,big_mac,Big Mac,125.0,125.0,,,18.0,18.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),False,MXN,
e60ab42bceb14a7b948c528eb4603b0d,run_20260421_044548,2026-04-21T04:46:09.093924+00:00,rappi,cdmx,middle,cdmx_roma_01,"Av. Álvaro Obregón 185, Roma Norte",19.4155,-99.1645,1306703465,McDonald's - Zona Rosa,happy_meal,Cajita Feliz Hamburguesa sin Queso,135.0,135.0,,,18.0,18.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),False,MXN,
f01e692442cb4fc0ac34ec4010086011,run_20260421_044548,2026-04-21T04:46:09.093924+00:00,rappi,cdmx,middle,cdmx_roma_01,"Av. Álvaro Obregón 185, Roma Norte",19.4155,-99.1645,1306703465,McDonald's - Zona Rosa,mcnuggets_10,McNuggets de Pollo 10 pzas,135.0,135.0,,,18.0,18.0,True,Envio gratis en tu primera orden | Viral Deal (Mcdo),False,MXN,
bcc46ead125a4ff3b079a07da5032a45,run_20260421_044548,2026-04-21T04:46:32.460675+00:00,ubereats,cdmx,premium,cdmx_polanco_01,"Av. Presidente Masaryk 111, Polanco",19.4326,-99.1962,a08108e0-594d-4c9e-a2a0-e3a90be971b1,McDonald's (Plaza Galerías),happy_meal,Cajita Feliz Hamburguesa sin Queso,135.0,135.0,,,23.0,23.0,False,,True,MXN,
0d3af948fd6e40a3b2be5097d91a2478,run_20260421_044548,2026-04-21T04:46:32.460675+00:00,ubereats,cdmx,premium,cdmx_polanco_01,"Av. Presidente Masaryk 111, Polanco",19.4326,-99.1962,a08108e0-594d-4c9e-a2a0-e3a90be971b1,McDonald's (Plaza Galerías),big_mac,Big Mac,125.0,125.0,,,23.0,23.0,False,,True,MXN,
1e8700350f434e55a4a252477bd193a0,run_20260421_044548,2026-04-21T04:46:32.460675+00:00,ubereats,cdmx,premium,cdmx_polanco_01,"Av. Presidente Masaryk 111, Polanco",19.4326,-99.1962,a08108e0-594d-4c9e-a2a0-e3a90be971b1,McDonald's (Plaza Galerías),mcnuggets_10,McNuggets de Pollo 10 pzas,135.0,135.0,,,23.0,23.0,False,,True,MXN,
b7ef71ab359e4f0aa8de83f1a3bb315e,run_20260421_044548,2026-04-21T04:46:42.755541+00:00,ubereats,cdmx,premium,cdmx_condesa_01,"Av. Tamaulipas 141, Condesa",19.4134,-99.176,99110872-0df2-4611-a74b-a21420bd86b9,McDonald's Sears Insurgentes,happy_meal,Cajita Feliz Hamburguesa sin Queso,129.0,129.0,,,23.0,23.0,True,,True,MXN,
f675027696f04b4eaf7fec519786a2b7,run_20260421_044548,2026-04-21T04:46:42.755541+00:00,ubereats,cdmx,premium,cdmx_condesa_01,"Av. Tamaulipas 141, Condesa",19.4134,-99.176,99110872-0df2-4611-a74b-a21420bd86b9,McDonald's Sears Insurgentes,big_mac,Home Office con Big Mac,109.0,109.0,,,23.0,23.0,True,,True,MXN,
b382c6d2027440f28f89c57e52abd79e,run_20260421_044548,2026-04-21T04:46:42.755541+00:00,ubereats,cdmx,premium,cdmx_condesa_01,"Av. Tamaulipas 141, Condesa",19.4134,-99.176,99110872-0df2-4611-a74b-a21420bd86b9,McDonald's Sears Insurgentes,mcnuggets_10,McNuggets de Pollo 10 pzas,135.0,135.0,,,23.0,23.0,True,,True,MXN,
